customer_id,signup_date,plan,channel
U1001,2026-06-01,free,organic
U1002,2026-06-01,pro,paid_search
U1003,2026-06-01,free,referral
U1004,2026-06-02,team,organic
U1005,2026-06-02,free,paid_social
U1006,2026-06-02,pro,organic
U1007,2026-06-03,free,referral
U1008,2026-06-03,free,organic
U1009,2026-06-03,pro,paid_search
U1010,2026-06-04,team,organic
U1011,2026-06-04,free,paid_social
U1012,2026-06-04,free,organic
U1013,2026-06-05,pro,referral
U1014,2026-06-05,free,organic
U1015,2026-06-05,free,paid_search
U1016,2026-06-06,team,paid_social
U1017,2026-06-06,free,organic
U1018,2026-06-06,pro,organic
U1019,2026-06-07,free,referral
U1020,2026-06-07,free,organic
