order_id,customer_id,amount,status,ordered_at
O3001,C001,120.00,paid,2026-06-01
O3002,C002,45.50,paid,2026-06-01
O3003,,89.99,paid,2026-06-01
O3004,C003,230.00,refunded,2026-06-02
O3005,C001,12.49,paid,2026-06-02
O3006,C004,75.00,paid,2026-06-02
O3007,,64.00,paid,2026-06-03
O3008,C005,99.99,paid,2026-06-03
O3009,C002,150.00,paid,2026-06-04
O3010,C006,42.50,refunded,2026-06-04
O3011,C003,310.25,paid,2026-06-04
O3012,,18.75,paid,2026-06-05
O3013,C001,55.00,paid,2026-06-05
O3014,C004,210.40,paid,2026-06-05
O3015,C005,33.20,paid,2026-06-06
O3016,,77.77,paid,2026-06-06
O3017,C006,140.00,paid,2026-06-07
O3018,C002,25.99,paid,2026-06-07
